Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Odin Sphere: Leifthrasir,2016,Action,Side view,PlayStation 3,8.3,90% (10),"Atlus Co., Ltd.","Atlus Co., Ltd.",0.0,1.0,2D scrolling
The Witcher 3: Wild Hunt - Hearts of Stone,2015,DLC / Add-on,Item,Windows,8.7,90% (13),CD Projekt S.A.,CD Projekt S.A.,0.0,1.0,
Ico,2001,Action,3rd-person (Other),PlayStation 2,8.5,90% (63),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Inc., Sony Computer Entertainment Korea Inc.",Sony Computer Entertainment America Inc.,0.0,1.0,Cinematic camera
Super Mario Kart,1992,Racing / Driving,Behind view,SNES,8.3,90% (38),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH, Playtronic Industrial Ltda.","Nintendo Co., Ltd.",0.0,1.0,Arcade
Madden NFL 2004,2003,Sports,Diagonal-down,Windows,8.3,90% (52),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,2D scrolling
Tony Hawk's Pro Skater 1 + 2,2020,Action,Behind view,Windows,8.7,90% (29),"Activision Publishing, Inc.","Activision Publishing, Inc.",0.0,1.0,Tricks / stunts
Trilby: The Art of Theft,2007,Action,Side view,Windows,7.9,90% (6),,,0.0,1.0,Fixed / flip-screen
Star Wars: TIE Fighter,1994,Action,1st-person,DOS,8.2,90% (20),LucasArts Entertainment Company LLC,LucasArts Entertainment Company LLC,0.0,1.0,"Space flight, Vehicular combat"
Dungeon Keeper,1997,Strategy,1st-person,Windows,8.0,90% (33),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Free-roaming camera
Battlefield: Bad Company 2,2010,Action,1st-person,Windows,8.5,90% (44),"Electronic Arts, Inc., ak tronic Software & Services GmbH","Electronic Arts, Inc.",0.0,1.0,Shooter
Final Fantasy IX,2000,Role-playing (RPG),3rd-person (Other),PlayStation,8.6,90% (67),"Sony Computer Entertainment Inc., Square Co., Ltd., Square Electronic Arts L.L.C.",Sony Computer Entertainment Inc.,0.0,1.0,Cinematic camera
NHL '94,1993,Sports,Top-down,Genesis,8.1,90% (24),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,2D scrolling
The Elder Scrolls IV: Oblivion - Game of the Year ...,2007,Compilation,Extra content / game,Windows,8.2,90% (8),"2K Games, Inc., Bethesda Softworks LLC, Ubisoft Entertainment SA","2K Games, Inc.",0.0,1.0,
Super Mario Bros. Deluxe,1999,Action,Side view,Game Boy Color,8.5,90% (27),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,2D scrolling
geoDefense Swarm,2009,Action,Top-down,iPhone,7.9,90% (5),"Critical Thought Games LLC, Microsoft Studios",Critical Thought Games LLC,0.0,1.0,Real-time
Rolling Gunner,2018,Action,Behind view,Windows,8.0,90% (5),"Project Rolling Gunner, Mebius, ININ Games, Softdistribution",Project Rolling Gunner,0.0,1.0,2D scrolling
Soldat,2002,Action,Side view,Windows,7.1,90% (5),Soldat Team,Soldat Team,0.0,1.0,2D scrolling
The Legend of Zelda: Link's Awakening,1993,Action,Side view,Game Boy,8.4,90% (30),Nintendo EAD,Nintendo EAD,0.0,1.0,2D scrolling
Metroid: Zero Mission,2004,Action,Side view,Game Boy Advance,8.5,90% (64),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,2D scrolling
Rally Master Pro,2008,Racing / Driving,1st-person,J2ME,8.1,90% (7),Fishlabs Entertainment GmbH,Fishlabs Entertainment GmbH,0.0,1.0,Off-roading
Dragon Quest VIII: Journey of the Cursed King,2004,Role-playing (RPG),3rd-person (Other),PlayStation 2,8.3,90% (64),"Square Enix Co., Ltd., Square Enix, Inc., Square Enix (2009) Limited","Square Enix Co., Ltd.",0.0,1.0,Anime / Manga
Metroid Prime 3: Corruption,2007,Action,1st-person,Wii,8.7,90% (101),Retro Studios Inc.,Retro Studios Inc.,0.0,1.0,Shooter
Game Dev Story,1996,Simulation,Diagonal-down,Windows,8.3,90% (22),"Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",0.0,1.0,Isometric
Demon's Souls,2009,Role-playing (RPG),Behind view,PlayStation 3,8.3,90% (26),"FromSoftware, Inc., Sony Computer Entertainment Japan","FromSoftware, Inc.",0.0,1.0,"Action RPG, Hack and slash"
Ogre Battle 64: Person of Lordly Caliber,1999,Role-playing (RPG),Top-down,Nintendo 64,8.6,90% (21),"Nintendo Co., Ltd., Atlus U.S.A., Inc., Square Enix Co., Ltd.","Nintendo Co., Ltd.",0.0,1.0,Turn-based
Chained Echoes,2022,Role-playing (RPG),Diagonal-down,Windows,8.7,90% (43),Deck13 Spotlight GmbH,Deck13 Spotlight GmbH,0.0,1.0,2D scrolling
Mercenary,1985,Action,1st-person,Atari 8-bit,7.9,90% (16),"Novagen Software Ltd, Datasoft, Inc.",Novagen Software Ltd,0.0,1.0,Puzzle elements
Strike Commander,1993,Action,1st-person,DOS,8.0,90% (10),"ORIGIN Systems, Inc., Electronic Arts, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Flight / aviation
Final Fantasy III,1994,Role-playing (RPG),Diagonal-down,SNES,8.3,89% (70),"Square Co., Ltd., Square Soft, Inc., Sony Computer Entertainment Europe Ltd.","Square Co., Ltd.",0.0,1.0,2D scrolling
Warlocked,2000,Action,Top-down,Game Boy Color,8.1,89% (9),Bits Studios Ltd.,Bits Studios Ltd.,0.0,1.0,Real-time
Mega Man 2,1988,Action,Side view,NES,8.4,89% (38),"Capcom Co., Ltd., Capcom U.S.A., Inc., CE Europe Ltd.","Capcom Co., Ltd.",0.0,1.0,2D scrolling
Mario & Luigi: Bowser's Inside Story,2009,Action,Diagonal-down,Nintendo DS,8.6,89% (37),"AlphaDream Corporation, Ltd.","AlphaDream Corporation, Ltd.",0.0,1.0,Real-time
International Superstar Soccer '98,1998,Sports,Diagonal-down,Nintendo 64,8.2,89% (14),"Major A, Konami OSA Ltd.",Major A,0.0,1.0,2D scrolling
Super Mario 3D Land,2011,Action,Side view,Nintendo 3DS,8.8,89% (85),Nintendo EAD,Nintendo EAD,0.0,1.0,2D scrolling
Pathway to Glory,2004,Strategy,Isometric,N-Gage,8.5,89% (17),RedLynx Ltd,RedLynx Ltd,0.0,1.0,Turn-based
Ridiculous Fishing,2013,Action,Side view,iPhone,8.5,89% (17),Vlambeer,Vlambeer,0.0,1.0,2D scrolling
Peggle,2007,Puzzle,Fixed / flip-screen,Windows,8.4,89% (52),"PopCap Games, Inc., Valve Corporation, phenomedia publishing gmbh","PopCap Games, Inc.",0.0,1.0,Turn-based
Defender's Quest: Valley of the Forgotten,2012,Role-playing (RPG),Top-down,Windows,7.9,89% (5),"Level Up Labs, LLC","Level Up Labs, LLC",0.0,1.0,Fantasy
Gold Games 9,2006,Compilation,,Windows,8.0,89% (5),,,0.0,1.0,
The Binding of Isaac: Afterbirth,2015,DLC / Add-on,Item,Windows,8.0,89% (5),"Nicalis, Inc.","Nicalis, Inc.",0.0,1.0,
XCOM: Enemy Unknown,2012,Strategy,Diagonal-down,Windows,8.4,89% (41),"2K Games, Inc., Feral Interactive Ltd., ak tronic Software & Services GmbH","2K Games, Inc.",0.0,1.0,Turn-based
Yoshi's Island: Super Mario Advance 3,2002,Action,Side view,Game Boy Advance,8.7,89% (39),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Deus Ex: Human Revolution,2011,Role-playing (RPG),1st-person,Windows,8.6,89% (75),"Square Enix, Inc., Cenega Poland Sp. z o.o., Square Enix Limited","Square Enix, Inc.",0.0,1.0,"Action RPG, Shooter, Stealth"
Dark Souls III,2016,Role-playing (RPG),Behind view,PlayStation 4,8.6,89% (32),"FromSoftware, Inc., BANDAI NAMCO Entertainment Inc.","FromSoftware, Inc.",0.0,1.0,"Action RPG, Hack and slash"
Jane's Combat Simulations: Longbow 2,1997,Simulation,1st-person,Windows,8.3,89% (16),"ORIGIN Systems, Inc.","ORIGIN Systems, Inc.",0.0,1.0,Direct control
Pokémon Red Version,1998,Role-playing (RPG),Diagonal-down,Game Boy,8.1,89% (24),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,Turn-based
Skies of Arcadia,2000,Role-playing (RPG),Diagonal-down,Dreamcast,8.3,89% (40),Overworks,Overworks,0.0,1.0,Anime / Manga
Metroid Fusion,2002,Action,Side view,Game Boy Advance,8.4,89% (51),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,2D scrolling
Crysis,2007,Action,1st-person,Windows,8.6,89% (100),"Electronic Arts, Inc., ak tronic Software & Services GmbH","Electronic Arts, Inc.",0.0,1.0,Shooter
MLB 10: The Show,2010,Sports,Behind view,PlayStation 2,8.4,89% (13),Sony Computer Entertainment America Inc.,Sony Computer Entertainment America Inc.,0.0,1.0,Baseball
NBA 2K1,2000,Sports,Diagonal-down,Dreamcast,8.4,89% (16),"Visual Concepts Entertainment, Inc.","Visual Concepts Entertainment, Inc.",0.0,1.0,2D scrolling
Dead Space 2: Limited Edition,2011,Special edition,Extra content / game,PlayStation 3,8.6,89% (24),,,0.0,1.0,
Quake,2021,Action,1st-person,Windows,8.2,89% (9),Bethesda Softworks LLC,Bethesda Softworks LLC,0.0,1.0,Shooter
Total War: Shogun 2,2011,Strategy,Diagonal-down,Windows,8.8,89% (90),"1C-SoftClub, SEGA Europe Ltd., Feral Interactive Ltd., ak tronic Software & Services GmbH",1C-SoftClub,0.0,1.0,Free-roaming camera
Yū Yū Hakusho: Makyō Tōitsusen,1994,Action,Side view,Genesis,8.1,89% (6),"Treasure Co., Ltd.","Treasure Co., Ltd.",0.0,1.0,Anime / Manga
Fighters Megamix,1996,Action,Side view,SEGA Saturn,8.1,89% (16),"SEGA-AM2 Co., LTD.","SEGA-AM2 Co., LTD.",0.0,1.0,2D scrolling
Osu! Tatakae! Ouendan,2005,Action,Music / rhythm,Nintendo DS,8.7,89% (26),iNiS corporation,iNiS corporation,0.0,1.0,
Deus Ex,2000,Role-playing (RPG),1st-person,Windows,8.2,89% (76),"Eidos Interactive Limited, Aspyr Media, Inc., Acer TWP Corp",Eidos Interactive Limited,0.0,1.0,"Action RPG, Shooter, Stealth"
Mark of the Ninja,2012,Action,Side view,Xbox 360,8.4,89% (16),Microsoft Corporation,Microsoft Corporation,0.0,1.0,2D scrolling
Tekken 2,1995,Action,Side view,Arcade,7.8,89% (16),"Namco Limited, Namco Hometek Inc., Sony Computer Entertainment Europe Ltd.",Namco Limited,0.0,1.0,2D scrolling
Links LS: Legends in Sports - 1997 Edition,1996,Simulation,3rd-person (Other),DOS,8.2,89% (13),"Access Software, Inc.","Access Software, Inc.",0.0,1.0,Golf
The Beatles: Rock Band,2009,Action,3rd-person (Other),Xbox 360,8.8,89% (91),MTV Games,MTV Games,0.0,1.0,Cinematic camera
Psychonauts 2,2021,Action,3rd-person (Other),PlayStation 4,8.7,89% (51),Microsoft Corporation,Microsoft Corporation,0.0,1.0,"Platform, Puzzle elements"
Diddy Kong Racing,1997,Racing / Driving,1st-person,Nintendo 64,8.2,89% (28),Rare Limited,Rare Limited,0.0,1.0,Arcade
NFL 2K2,2001,Sports,Diagonal-down,Dreamcast,8.2,89% (21),"SEGA of America, Inc., SEGA Corporation","SEGA of America, Inc.",0.0,1.0,"Direct control, Multiple units/characters control"
Phase,2007,Action,Music / rhythm,iPod Classic,8.1,89% (7),"Harmonix Music Systems, Inc.","Harmonix Music Systems, Inc.",0.0,1.0,
Silent Hill 2,2001,Action,3rd-person (Other),PlayStation 2,8.6,89% (28),Team Silent,Team Silent,0.0,1.0,Cinematic camera
Tetris,1988,Action,Side view,Arcade,8.3,89% (7),"Atari Games Corporation, Tengen Inc.",Atari Games Corporation,0.0,1.0,Fixed / flip-screen
The Room Three,2015,Puzzle,1st-person,iPhone,8.3,89% (7),Fireproof Games Ltd,Fireproof Games Ltd,0.0,1.0,Point and select
EF 2000,1995,Simulation,1st-person,DOS,8.0,89% (18),Digital Image Design Ltd.,Digital Image Design Ltd.,0.0,1.0,"Flight / aviation, Vehicular combat"
Resident Evil 4,2005,Action,Behind view,PlayStation 2,8.4,89% (131),"CE Europe Ltd., Capcom Entertainment, Inc., Capcom Co., Ltd.",CE Europe Ltd.,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror"
Halo: Reach,2010,Action,1st-person,Xbox 360,8.6,89% (46),"Microsoft Corporation, ak tronic Software & Services GmbH",Microsoft Corporation,0.0,1.0,Shooter
Marvel Spider-Man,2018,Action,Behind view,PlayStation 4,8.7,89% (55),"Insomniac Games, Inc.","Insomniac Games, Inc.",0.0,1.0,"Quick Time Events (QTEs), Sandbox / open world, Stealth"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002,Action,1st-person,Windows,8.5,89% (55),"Sierra Entertainment, Inc., Fox Interactive, Inc., Imagineer Co., Ltd.","Sierra Entertainment, Inc.",0.0,1.0,"RPG elements, Shooter, Stealth"
Guild Wars,2005,Role-playing (RPG),Behind view,Windows,8.5,89% (50),"ArenaNet, LLC","ArenaNet, LLC",0.0,1.0,Persistent
Metroid Prime 2: Echoes,2004,Action,1st-person,GameCube,8.6,89% (67),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Shooter"
Dragon Age: Origins,2009,Role-playing (RPG),Diagonal-down,Windows,8.4,89% (78),"Electronic Arts, Inc., Spike Co., Ltd., ak tronic Software & Services GmbH","Electronic Arts, Inc.",0.0,1.0,"2D scrolling, Free-roaming camera"
Cassette Beasts,2023,Role-playing (RPG),Diagonal-down,Windows,8.5,89% (19),Raw Fury AB,Raw Fury AB,0.0,1.0,2D scrolling
Puzz 3D: Victorian Mansion,1999,Adventure,3rd-person (Other),Windows,8.0,89% (5),Wrebbit Inc.,Wrebbit Inc.,0.0,1.0,Cards / tiles
Star Wars: TIE Fighter - Collector's CD-ROM,1995,Action,1st-person,DOS,8.2,89% (15),"LucasArts Entertainment Company LLC, Disney Interactive, Disney Interactive",LucasArts Entertainment Company LLC,0.0,1.0,Real-time
Rome: Total War,2004,Strategy,Diagonal-down,Windows,8.5,89% (42),"Activision Publishing, Inc., Licomp Empik Multimedia Sp. z o.o., 1C Company","Activision Publishing, Inc.",0.0,1.0,Free-roaming camera
Links LS 1999,1998,Simulation,Behind view,Windows,8.5,89% (16),"Access Software, Inc.","Access Software, Inc.",0.0,1.0,Golf
Monkey Island 2: LeChuck's Revenge - Special Editi...,2010,Adventure,Side view,PlayStation 3,8.3,89% (40),"LucasArts, Disney Interactive Studios, Inc.",LucasArts,0.0,1.0,2D scrolling
Super Smash Bros. for Wii U,2014,Action,Side view,Wii U,8.4,89% (11),"Sora Ltd., BANDAI NAMCO Games Inc.",Sora Ltd.,0.0,1.0,2D scrolling
Homerun Battle 3D,2009,Sports,Behind view,iPhone,8.0,89% (6),Com2uS Corporation,Com2uS Corporation,0.0,1.0,Baseball
NCAA Football 2005,2004,Sports,3rd-person (Other),PlayStation 2,8.4,89% (15),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Multiple units/characters control
The Binding of Isaac: Wrath of the Lamb,2012,DLC / Add-on,Item,Windows,8.0,89% (6),,,0.0,1.0,
World in Conflict,2007,Strategy,Diagonal-down,Windows,8.5,89% (60),Massive Entertainment AB,Massive Entertainment AB,0.0,1.0,Free-roaming camera
Mario & Luigi: Superstar Saga,2003,Action,Isometric,Game Boy Advance,8.6,89% (61),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,Turn-based
Links LS: 1998 Edition,1997,Sports,Behind view,Windows,8.5,89% (15),"Access Software, Inc.","Access Software, Inc.",0.0,1.0,Golf
Paradigm,2017,Adventure,3rd-person (Other),Windows,8.1,89% (9),,,0.0,1.0,"Graphic adventure, Puzzle elements"
Metro 2033: Redux,2014,Action,1st-person,PlayStation 4,8.2,89% (7),Koch Media GmbH (Austria),Koch Media GmbH (Austria),0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth"
The Cat Lady,2012,Adventure,3rd-person (Other),Windows,8.4,89% (14),Screen 7 Entertainment,Screen 7 Entertainment,0.0,1.0,"Graphic adventure, Puzzle elements"
Shovel Knight,2014,Action,Side view,Windows,8.7,89% (37),"Yacht Club Games, LLC","Yacht Club Games, LLC",0.0,1.0,"2D scrolling, Fixed / flip-screen"
The White Chamber,2005,Adventure,Diagonal-down,Windows,8.1,89% (8),Studio Trophis,Studio Trophis,0.0,1.0,Anime / Manga
Super Hexagon,2012,Action,Top-down,iPhone,7.0,89% (12),Distractionware Ltd.,Distractionware Ltd.,0.0,1.0,Arcade
The Elder Scrolls III: Morrowind,2002,Role-playing (RPG),1st-person,Windows,8.3,89% (81),"Ubi Soft Entertainment Software, Bethesda Softworks LLC, 1C Company, Red Ant Enterprises Pty Ltd.",Ubi Soft Entertainment Software,0.0,1.0,"Action RPG, Sandbox / open world"
The Stanley Parable,2013,Adventure,1st-person,Windows,8.5,89% (29),Galactic Cafe,Galactic Cafe,0.0,1.0,Direct control
Virtual Worlds: The 3D Game Collection,1991,Compilation,,DOS,8.1,89% (10),Domark Software Ltd.,Domark Software Ltd.,0.0,1.0,
Half-Life: Counter-Strike,2000,Action,1st-person,Windows,7.1,89% (16),Valve L.L.C.,Valve L.L.C.,0.0,1.0,Shooter
Age of Mythology,2002,Strategy,Diagonal-down,Windows,8.5,89% (66),"Microsoft Corporation, MacSoft, Ubisoft Entertainment SA, ak tronic Software & Services GmbH",Microsoft Corporation,0.0,1.0,Free-roaming camera
System Shock,1994,Action,1st-person,DOS,8.1,89% (23),"Dong Seo Interactive, Electronic Arts, Inc.",Dong Seo Interactive,0.0,1.0,"Puzzle elements, RPG elements, Shooter"
Halo 2,2004,Action,1st-person,Xbox,8.1,89% (120),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
Virtua Fighter 4,2001,Action,3rd-person (Other),Arcade,8.2,89% (27),"SEGA Corporation, Sony Computer Entertainment Europe Ltd., SEGA of America, Inc.",SEGA Corporation,0.0,1.0,"Arcade, Fighting"
The Beast Within: A Gabriel Knight Mystery,1995,Adventure,3rd-person (Other),Windows,8.2,89% (33),"Sierra On-Line, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
The Secret of Monkey Island,1990,Adventure,3rd-person (Other),DOS,8.2,89% (60),"Lucasfilm Games LLC, Softgold Computerspiele GmbH, CTO S.p.A.",Lucasfilm Games LLC,0.0,1.0,2D scrolling
Tetris DX,1998,Action,Side view,Game Boy Color,8.3,89% (9),Nintendo R&D1,Nintendo R&D1,0.0,1.0,Fixed / flip-screen
Return of the Obra Dinn,2018,Adventure,1st-person,Windows,8.5,89% (23),"3909, LLC.","3909, LLC.",0.0,1.0,"Graphic adventure, Puzzle elements"
Conker's Bad Fur Day,2001,Action,Diagonal-down,Nintendo 64,8.4,89% (39),Rare Limited,Rare Limited,0.0,1.0,"Platform, Puzzle elements, Shooter"
Black & White,2001,Simulation,Diagonal-down,Windows,8.0,89% (52),"Electronic Arts, Inc., Feral Interactive Ltd., ak tronic Software & Services GmbH, Sold Out Sales & Marketing Ltd.","Electronic Arts, Inc.",0.0,1.0,Free-roaming camera
Broken Sword 2.5: The Return of the Templars,2008,Adventure,3rd-person (Other),Windows,7.9,89% (9),mindFactory,mindFactory,0.0,1.0,"Graphic adventure, Puzzle elements"
Command & Conquer: Red Alert,1996,Strategy,Diagonal-down,Windows,8.0,89% (39),"Virgin Interactive Entertainment, Inc., Electronic Arts, Inc., Dice Multi Media Europe B.V.","Virgin Interactive Entertainment, Inc.",0.0,1.0,Free-roaming camera
Crusader Kings III,2020,Strategy,Diagonal-down,Windows,8.1,89% (10),Paradox Interactive AB,Paradox Interactive AB,0.0,1.0,Free-roaming camera
DCS: A-10C Warthog,2011,DLC / Add-on,1st-person,Windows,8.0,89% (5),Eagle Dynamics SA,Eagle Dynamics SA,0.0,1.0,Flight / aviation
Donkey Kong Land 2,1996,Action,Side view,Game Boy,8.0,89% (11),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Fallout: New Vegas - Ultimate Edition,2012,Compilation,,Windows,8.1,89% (5),"ZeniMax Europe Ltd., Bethesda Softworks LLC, ak tronic Software & Services GmbH",ZeniMax Europe Ltd.,0.0,1.0,
New York Nights: Success in the City,2005,Simulation,Isometric,J2ME,7.6,89% (5),Gameloft S.A.,Gameloft S.A.,0.0,1.0,
PixelJunk Monsters: Deluxe,2010,Strategy,3rd-person (Other),PSP,8.0,89% (6),Sony Computer Entertainment America Inc.,Sony Computer Entertainment America Inc.,0.0,1.0,Fantasy
Star Ocean,1996,Action,Top-down,SNES,7.6,89% (5),tri-Ace Inc.,tri-Ace Inc.,0.0,1.0,Isometric
The Bitmap Brothers Volume I,1992,Compilation,,DOS,8.2,89% (5),Renegade Software,Renegade Software,0.0,1.0,
The Goat in the Grey Fedora,2005,Adventure,Side view,Windows,8.0,89% (5),Pinhead Games,Pinhead Games,0.0,1.0,Puzzle elements
BioShock Infinite,2013,Action,1st-person,Windows,8.2,89% (50),"2K Games, Inc., ak tronic Software & Services GmbH, Virtual Programming Ltd.","2K Games, Inc.",0.0,1.0,"RPG elements, Shooter"
The Beast Within: A Gabriel Knight Mystery,1995,Adventure,3rd-person (Other),Windows,8.2,89% (33),"Sierra On-Line, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
The Secret of Monkey Island,1990,Adventure,3rd-person (Other),DOS,8.2,89% (60),"Lucasfilm Games LLC, Softgold Computerspiele GmbH, CTO S.p.A.",Lucasfilm Games LLC,0.0,1.0,2D scrolling
Tetris DX,1998,Action,Side view,Game Boy Color,8.3,89% (9),Nintendo R&D1,Nintendo R&D1,0.0,1.0,Fixed / flip-screen
Return of the Obra Dinn,2018,Adventure,1st-person,Windows,8.5,89% (23),"3909, LLC.","3909, LLC.",0.0,1.0,"Graphic adventure, Puzzle elements"
Conker's Bad Fur Day,2001,Action,Diagonal-down,Nintendo 64,8.4,89% (39),Rare Limited,Rare Limited,0.0,1.0,"Platform, Puzzle elements, Shooter"
Black & White,2001,Simulation,Diagonal-down,Windows,8.0,89% (52),"Electronic Arts, Inc., Feral Interactive Ltd., ak tronic Software & Services GmbH, Sold Out Sales & Marketing Ltd.","Electronic Arts, Inc.",0.0,1.0,Free-roaming camera
Broken Sword 2.5: The Return of the Templars,2008,Adventure,3rd-person (Other),Windows,7.9,89% (9),mindFactory,mindFactory,0.0,1.0,"Graphic adventure, Puzzle elements"
Command & Conquer: Red Alert,1996,Strategy,Diagonal-down,Windows,8.0,89% (39),"Virgin Interactive Entertainment, Inc., Electronic Arts, Inc., Dice Multi Media Europe B.V.","Virgin Interactive Entertainment, Inc.",0.0,1.0,Free-roaming camera
Crusader Kings III,2020,Strategy,Diagonal-down,Windows,8.1,89% (10),Paradox Interactive AB,Paradox Interactive AB,0.0,1.0,Free-roaming camera
DCS: A-10C Warthog,2011,DLC / Add-on,1st-person,Windows,8.0,89% (5),Eagle Dynamics SA,Eagle Dynamics SA,0.0,1.0,Flight / aviation
Donkey Kong Land 2,1996,Action,Side view,Game Boy,8.0,89% (11),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Fallout: New Vegas - Ultimate Edition,2012,Compilation,,Windows,8.1,89% (5),"ZeniMax Europe Ltd., Bethesda Softworks LLC, ak tronic Software & Services GmbH",ZeniMax Europe Ltd.,0.0,1.0,
New York Nights: Success in the City,2005,Simulation,Isometric,J2ME,7.6,89% (5),Gameloft S.A.,Gameloft S.A.,0.0,1.0,
PixelJunk Monsters: Deluxe,2010,Strategy,3rd-person (Other),PSP,8.0,89% (6),Sony Computer Entertainment America Inc.,Sony Computer Entertainment America Inc.,0.0,1.0,Fantasy
Star Ocean,1996,Action,Top-down,SNES,7.6,89% (5),tri-Ace Inc.,tri-Ace Inc.,0.0,1.0,Isometric
The Bitmap Brothers Volume I,1992,Compilation,,DOS,8.2,89% (5),Renegade Software,Renegade Software,0.0,1.0,
The Goat in the Grey Fedora,2005,Adventure,Side view,Windows,8.0,89% (5),Pinhead Games,Pinhead Games,0.0,1.0,Puzzle elements
BioShock Infinite,2013,Action,1st-person,Windows,8.2,89% (50),"2K Games, Inc., ak tronic Software & Services GmbH, Virtual Programming Ltd.","2K Games, Inc.",0.0,1.0,"RPG elements, Shooter"
The Beast Within: A Gabriel Knight Mystery,1995,Adventure,3rd-person (Other),Windows,8.2,89% (33),"Sierra On-Line, Inc., Activision Value Publishing, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
The Secret of Monkey Island,1990,Adventure,3rd-person (Other),DOS,8.2,89% (60),"Lucasfilm Games LLC, Softgold Computerspiele GmbH, CTO S.p.A.",Lucasfilm Games LLC,0.0,1.0,2D scrolling
Tetris DX,1998,Action,Side view,Game Boy Color,8.3,89% (9),Nintendo R&D1,Nintendo R&D1,0.0,1.0,Fixed / flip-screen
Return of the Obra Dinn,2018,Adventure,1st-person,Windows,8.5,89% (23),"3909, LLC.","3909, LLC.",0.0,1.0,"Graphic adventure, Puzzle elements"
Conker's Bad Fur Day,2001,Action,Diagonal-down,Nintendo 64,8.4,89% (39),Rare Limited,Rare Limited,0.0,1.0,"Platform, Puzzle elements, Shooter"
Black & White,2001,Simulation,Diagonal-down,Windows,8.0,89% (52),"Electronic Arts, Inc., Feral Interactive Ltd., ak tronic Software & Services GmbH, Sold Out Sales & Marketing Ltd.","Electronic Arts, Inc.",0.0,1.0,Free-roaming camera
Broken Sword 2.5: The Return of the Templars,2008,Adventure,3rd-person (Other),Windows,7.9,89% (9),mindFactory,mindFactory,0.0,1.0,"Graphic adventure, Puzzle elements"
Command & Conquer: Red Alert,1996,Strategy,Diagonal-down,Windows,8.0,89% (39),"Virgin Interactive Entertainment, Inc., Electronic Arts, Inc., Dice Multi Media Europe B.V.","Virgin Interactive Entertainment, Inc.",0.0,1.0,Free-roaming camera
Crusader Kings III,2020,Strategy,Diagonal-down,Windows,8.1,89% (10),Paradox Interactive AB,Paradox Interactive AB,0.0,1.0,Free-roaming camera
DCS: A-10C Warthog,2011,DLC / Add-on,1st-person,Windows,8.0,89% (5),Eagle Dynamics SA,Eagle Dynamics SA,0.0,1.0,Flight / aviation
Donkey Kong Land 2,1996,Action,Side view,Game Boy,8.0,89% (11),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Fallout: New Vegas - Ultimate Edition,2012,Compilation,,Windows,8.1,89% (5),"ZeniMax Europe Ltd., Bethesda Softworks LLC, ak tronic Software & Services GmbH",ZeniMax Europe Ltd.,0.0,1.0,
New York Nights: Success in the City,2005,Simulation,Isometric,J2ME,7.6,89% (5),Gameloft S.A.,Gameloft S.A.,0.0,1.0,
PixelJunk Monsters: Deluxe,2010,Strategy,3rd-person (Other),PSP,8.0,89% (6),Sony Computer Entertainment America Inc.,Sony Computer Entertainment America Inc.,0.0,1.0,Fantasy
Star Ocean,1996,Action,Top-down,SNES,7.6,89% (5),tri-Ace Inc.,tri-Ace Inc.,0.0,1.0,Isometric
