Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Spiritual Warfare,1992,Action,Top-down,NES,4.8,39% (6),"Wisdom Tree, Inc.","Wisdom Tree, Inc.",0.0,1.0,Religion
Balan Wonderworld,2021,Action,3rd-person (Other),Xbox One,4.8,45% (53),"Square Enix Co., Ltd., Square Enix, Inc., Square Enix Limited","Square Enix Co., Ltd.",0.0,1.0,"Puzzle elements, RPG elements"
Zoom: Paparazzi in Action,2006,Action,1st-person,Windows,4.8,35% (8),Exozet Games GmbH,Exozet Games GmbH,0.0,1.0,
Merchants of Brooklyn,2009,Action,1st-person,Windows,4.8,36% (8),Paleo Entertainment,Paleo Entertainment,0.0,1.0,Shooter
SpeedRage,1996,Racing / Driving,1st-person,DOS,4.8,37% (7),Hexerei Games,Hexerei Games,0.0,1.0,"Arcade, Shooter"
China Warrior,1987,Action,Side view,TurboGrafx-16,4.8,36% (14),"Hudson Soft Company, Ltd., NEC Technologies, Inc., Hudson Entertainment, Inc.","Hudson Soft Company, Ltd.",0.0,1.0,2D scrolling
Spawn: The Eternal,1997,Action,Behind view,PlayStation,4.8,33% (12),Sony Interactive Studios America,Sony Interactive Studios America,0.0,1.0,Fighting
Duel Master: Blood Valley,1987,Action,Side view,Commodore 64,4.8,44% (7),Gremlin Graphics Software Limited,Gremlin Graphics Software Limited,0.0,1.0,Fantasy
Dash Galaxy in the Alien Asylum,1990,Action,Side view,NES,4.8,28% (4),"Data East USA, Inc., Beam Software Pty., Ltd.","Data East USA, Inc.",0.0,1.0,"Arcade, Platform"
Hellfire Attack,1988,Action,Behind view,Amiga,4.8,45% (9),"Martech Games Ltd., Alternative Software Ltd.",Martech Games Ltd.,0.0,1.0,"Arcade, Shooter"
Happy Feet,2006,Action,Behind view,Windows,4.8,42% (23),"Midway Home Entertainment, Inc.","Midway Home Entertainment, Inc.",0.0,1.0,Puzzle elements
'43 - One Year After,1986,Action,Top-down,Commodore 64,4.8,26% (5),Greve Graphics,Greve Graphics,0.0,1.0,"Arcade, Shooter"
Timecop,1995,Action,Platform,SNES,4.8,33% (6),Cryo Interactive Entertainment,Cryo Interactive Entertainment,0.0,1.0,Sci-fi / futuristic
Robozone,1991,Action,Behind view,DOS,4.8,48% (8),Image Works,Image Works,0.0,1.0,2D scrolling
Kawasaki ATV PowerSports,2000,Racing / Driving,1st-person,Windows,4.8,32% (5),"Encore, Inc.","Encore, Inc.",0.0,1.0,Off-roading
Beyond the Law: The Third Wave,2003,Strategy,Diagonal-down,Windows,4.8,41% (15),"PAN Vision AB, NICOLAS GAMES Sp. z o.o., Magnum Games, Noviy Disk",PAN Vision AB,0.0,1.0,Real-time
Lethal Weapon,1993,Action,Side view,NES,4.8,36% (12),"Ocean Europe Limited, Ocean of America, Inc.",Ocean Europe Limited,0.0,1.0,2D scrolling
Surf Ninjas,1994,Action,Side view,DOS,4.8,22% (6),"Capstone Software, MicroValue, Ltd",Capstone Software,0.0,1.0,"Beat 'em up / brawler, Fighting, Puzzle elements"
Two Thrones,2004,Strategy,Top-down,Windows,4.8,37% (10),Paradox Entertainment AB,Paradox Entertainment AB,0.0,1.0,Real-time
Johnny Mnemonic,1995,Action,1st-person,Windows,4.8,44% (9),Sony Imagesoft,Sony Imagesoft,0.0,1.0,Full Motion Video (FMV)
Aliens: Colonial Marines,2013,Action,1st-person,Windows,4.8,42% (38),"SEGA of America, Inc.","SEGA of America, Inc.",0.0,1.0,Shooter
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Action,3rd-person (Other),PlayStation 2,4.8,39% (19),"Creat Studios, Inc.","Creat Studios, Inc.",0.0,1.0,Real-time
Bullseye,1984,Simulation,3rd-person (Other),ZX Spectrum,4.8,41% (2),"Macsen Software, TV Games",Macsen Software,0.0,1.0,"Board game, Game show / trivia / quiz"
Orion: Prelude,2013,Action,1st-person,Windows,4.8,31% (6),Spiral Game Studios,Spiral Game Studios,0.0,1.0,Shooter
X-Men: Mutant Academy,2000,Action,Side view,Game Boy Color,4.8,39% (16),Crawfish Interactive Ltd.,Crawfish Interactive Ltd.,0.0,1.0,2D scrolling
High Impact Paintball,2000,Action,1st-person,Windows,4.8,28% (5),"Sunstorm Interactive, Inc.","Sunstorm Interactive, Inc.",0.0,1.0,Shooter
Dragon Ball Z: Ultimate Battle 22,1995,Action,Side view,PlayStation,4.9,37% (12),"Tose Co., Ltd.","Tose Co., Ltd.",0.0,1.0,2D scrolling
Tenchu: Dark Secret,2006,Action,Behind view,Nintendo DS,4.8,38% (12),"Polygon Magic, Inc.","Polygon Magic, Inc.",0.0,1.0,"Fighting, Stealth"
Alien Blast: The Encounter,2003,Action,1st-person,Windows,4.8,38% (8),"Made By KIDDIES, Inc.","Made By KIDDIES, Inc.",0.0,1.0,"Arcade, Shooter"
Hydlide,1984,Action,Top-down,PC-88,4.8,28% (8),"T&E Soft, Inc., Philips Export B.V., Toshiba-EMI Ltd.","T&E Soft, Inc.",0.0,1.0,Fixed / flip-screen
Quartet,1986,Action,Side view,Arcade,4.8,42% (7),"SEGA Enterprises Ltd., Activision, Inc., Hit Squad, The",SEGA Enterprises Ltd.,0.0,1.0,2D scrolling
Batman Returns,1993,Action,Side view,Amiga,4.8,31% (5),Dentons,Dentons,0.0,1.0,2D scrolling
Far Cry: Vengeance,2006,Action,1st-person,Wii,4.9,43% (29),Ubisoft Entertainment Inc.,Ubisoft Entertainment Inc.,0.0,1.0,Shooter
Without Warning,2005,Action,3rd-person (Other),Xbox,4.9,42% (28),"CE Europe Ltd., Capcom Entertainment, Inc.",CE Europe Ltd.,0.0,1.0,"Puzzle elements, Shooter"
Baseball,1983,Sports,Diagonal-down,NES,4.9,42% (21),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd.","Nintendo Co., Ltd.",0.0,1.0,Baseball
Gravity Games Bike: Street • Vert • Dirt,2002,Sports,Behind view,Xbox,4.9,37% (10),"Midway Games West, Inc.","Midway Games West, Inc.",0.0,1.0,Real-time
Prison Break: The Conspiracy,2010,Action,Behind view,Windows,4.9,42% (35),"Koch Media GmbH (Austria), Deep Silver, Inc.",Koch Media GmbH (Austria),0.0,1.0,"Quick Time Events (QTEs), Stealth"
